Time	Torque	AngularAcceleration	AngularVelocity	Angle	Force X	Force Y	Acceleration X	Acceleration Y	Velocity X	Velocity Y	Position x	 Positoin Y
0	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	0.050000	0.000000	0.000025	0.000000
0	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	49.999523	0.000000	24.999861	0.000000
1	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	99.951500	0.000000	99.900009	0.000000
2	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	149.904541	0.000000	224.703110	0.000000
3	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	199.857590	0.000000	399.409302	0.000000
4	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	249.810638	0.000000	624.018494	0.000000
5	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	299.750336	0.000000	898.525024	0.000000
6	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	349.688141	0.000000	1222.919556	0.000000
7	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	399.625946	0.000000	1597.202026	0.000000
8	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	449.563751	0.000000	2021.372314	0.000000
9	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	499.501556	0.000000	2495.430176	0.000000
10	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	549.439392	0.000000	3019.376221	0.000000
11	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	599.377197	0.000000	3593.210205	0.000000
12	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	649.315002	0.000000	4216.932617	0.000000
13	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	699.252808	0.000000	4890.542480	0.000000
14	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	749.190613	0.000000	5614.040039	0.000000
15	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	799.128418	0.000000	6387.425293	0.000000
16	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	849.066223	0.000000	7210.699219	0.000000
17	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	899.004028	0.000000	8083.859863	0.000000
18	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	948.941833	0.000000	9006.909180	0.000000
19	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	998.879639	0.000000	9979.846680	0.000000
20	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	1048.847778	0.000000	11002.677734	0.000000
21	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	1098.846558	0.000000	12075.452148	0.000000
22	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	1148.845337	0.000000	13198.171875	0.000000
23	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	1198.844116	0.000000	14370.841797	0.000000
24	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	1248.842896	0.000000	15593.462891	0.000000
25	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	1298.841675	0.000000	16866.041016	0.000000
26	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	1348.840454	0.000000	18188.550781	0.000000
27	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	1398.839233	0.000000	19561.029297	0.000000
28	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	1448.838013	0.000000	20983.435547	0.000000
29	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	1498.836792	0.000000	22455.796875	0.000000
30	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	50.000000	0.000000	1548.835571	0.000000	23978.117188	0.000000
31	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	25.023561	0.023562	1574.585693	0.022832	25538.630859	0.011062
32	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	25.023561	0.023562	1599.585083	0.046370	27124.128906	0.045628
33	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	25.023561	0.023562	1624.584473	0.069908	28734.601563	0.103710
34	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	25.023561	0.023562	1649.583862	0.093443	30370.037109	0.185304
35	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	25.023561	0.023562	1674.583252	0.116979	32030.458984	0.290410
36	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	25.023561	0.023562	1699.582642	0.140514	33715.941406	0.419027
37	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	25.023561	0.023562	1724.582031	0.164049	35426.234375	0.571156
38	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	25.023561	0.023562	1749.581421	0.187584	37161.652344	0.746797
39	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	25.023561	0.023562	1774.580811	0.211119	38921.949219	0.945949
40	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	25.023561	0.023562	1799.580200	0.234654	40707.238281	1.168613
41	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	25.023561	0.023562	1824.579590	0.258195	42517.535156	1.414789
42	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	25.023561	0.023562	1849.578979	0.281745	44352.703125	1.684489
43	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	25.023561	0.023562	1874.578369	0.305295	46212.988281	1.977715
44	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	25.023561	0.023562	1899.577759	0.328845	48098.160156	2.294468
